code,name,tier,group,mktcap_yi,pe,pb,rev_26h1,rev_yoy_calc,np_26h1,gm_26h1,gm_chg_pp
688258,江苏卓易信息科技,核心,基础软件/数据库/云,106.77,133.545,10.759,1.7759,2.0,1.0624,58.330881,3.38
300377,赢时胜,核心,金融IT,103.49,-1968.571,4.285,6.2954,8.9,-0.7838,32.353841,-2.21
688327,云从科技,核心,AI 原生/智能应用,102.85,-18.315,14.228,1.0026,-40.67,-0.7877,42.815024,5.08
600986,浙文互联,剔除,传媒/广告/电商/零售,102.33,114.667,2.027,43.0851,16.05,-1.3334,8.521438,0.27
002315,焦点科技,核心,垂直行业软件,102.3,15.598,3.699,10.5886,15.17,2.6024,79.101668,-0.95
300378,鼎捷数智,核心,企业管理 ERP/OA,102.27,61.738,4.129,11.0105,5.37,1.8843,55.479476,-2.84
300846,首都在线,剔除,IDC/算力租赁/机房,100.06,-58.395,13.074,6.6517,5.74,-0.3219,17.623507,4.48
002063,远光软件,核心,垂直行业软件,99.99,33.164,2.503,10.6057,0.54,0.7566,49.020358,-3.5
920116,星图测控,观望,软硬一体/垂直信息化,98.6,69.968,16.571,0.9076,-8.49,0.2754,52.739095,-1.83
688262,苏州国芯科技,剔除,芯片/半导体设计,98.25,-37.974,5.121,3.1328,83.66,-0.8186,29.192611,-7.63
603533,掌阅科技,剔除,传媒/广告/电商/零售,98.18,-55.925,4.313,17.8379,16.89,-0.5014,65.634923,-5.27
600446,金证股份,核心,金融IT,97.61,-58.193,2.721,11.3011,-6.43,0.126,41.740091,4.28
603220,中贝通信,观望,IT服务/系统集成,97.51,97.012,2.562,13.5757,-14.32,0.1065,16.677746,-1.37
000555,神州信息,观望,IT服务/系统集成,97.48,170.187,1.781,41.255,-6.73,-2.8292,13.965836,0.74
300768,迪普科技,核心,网络安全,96.96,51.931,2.744,5.3678,-2.52,0.7241,62.335187,-0.03
600640,国脉文化,剔除,嵌入式/电力·轨交·军工硬件,96.25,450.37,2.449,8.7765,0.24,0.1577,18.198493,1.93
300634,彩讯股份,观望,数据/云/算力服务,95.66,32.615,3.154,6.9575,-24.33,0.6873,38.475648,4.9
600718,东软集团,观望,IT服务/系统集成,94.52,-25.484,1.086,43.9566,-6.26,-2.8886,25.324234,-1.21
300682,朗新科技,核心,垂直行业软件,94.24,87.4,1.479,14.824,-3.89,-1.8049,43.833823,-2.22
300624,万兴科技,核心,办公与工具软件,94.23,-103.702,9.796,7.0609,-7.09,-0.6898,86.62505,-5.79
688325,赛微微电子,剔除,芯片/半导体设计,94.1,93.312,5.572,2.4457,11.98,0.3117,52.347219,-1.26
600728,佳都科技,观望,软硬一体/垂直信息化,93.62,53.471,1.185,53.5358,8.83,0.3075,6.96203,-1.29
301248,杰创智能,剔除,嵌入式/电力·轨交·军工硬件,90.55,654.556,5.946,3.4324,8.72,-0.0326,39.260431,5.29
300188,国投智能,核心,网络安全,90.33,-11.549,3.803,4.8573,-12.89,-2.5483,35.330926,-0.96
003010,若羽臣,剔除,传媒/广告/电商/零售,88.5,45.159,11.13,22.856,73.29,1.6745,65.470477,8.55
300031,宝通科技,剔除,游戏,88.36,42.583,2.148,19.6552,22.3,1.92,41.241847,2.3
300895,铜牛信息,剔除,IDC/算力租赁/机房,88.27,-112.914,12.157,1.0827,3.41,-0.3677,-6.154852,-2.67
688083,中望软件,核心,工业/研发设计软件,88.15,433.0,3.381,3.6004,7.93,-0.1725,95.990533,0.86
688252,天德钰科技,剔除,芯片/半导体设计,87.2,37.404,3.477,12.0548,-0.22,1.3802,24.502724,0.1
688227,品高股份,观望,软硬一体/垂直信息化,87.05,-167.391,6.879,1.8168,10.04,0.0442,35.147873,6.25
600654,中安科,剔除,传媒/广告/电商/零售,85.93,160.638,4.569,11.591,-25.41,0.4843,18.143603,2.76
000676,智度股份,剔除,传媒/广告/电商/零售,85.67,60.177,1.988,21.7254,0.32,1.4333,16.14572,0.69
300766,每日互动,核心,AI 原生/智能应用,85.46,-240.556,5.437,2.7177,24.39,-0.1083,60.755934,0.31
600556,天下秀,剔除,传媒/广告/电商/零售,82.07,227.0,2.197,22.5192,22.13,-0.6845,11.986682,-7.15
002212,天融信,核心,网络安全,81.74,107.776,0.881,5.4539,-33.99,-2.7288,59.346881,-8.06
301592,六九一二,剔除,嵌入式/电力·轨交·军工硬件,81.18,152.472,8.745,0.9674,22.64,-0.1882,39.78084,-3.1
002368,太极股份,核心,基础软件/数据库/云,80.9,-10.603,2.175,16.8886,-53.18,-3.5301,27.300779,3.99
301179,泽宇智能,剔除,嵌入式/电力·轨交·军工硬件,80.8,54.0,3.238,4.5822,13.49,0.5899,26.774533,-0.43
002093,国脉科技,观望,软硬一体/垂直信息化,78.28,43.725,2.083,2.4604,-1.57,-0.4149,47.365379,-4.89
002970,锐明技术,剔除,嵌入式/电力·轨交·军工硬件,78.15,19.698,3.546,12.3752,7.09,1.1101,42.095436,-5.82
301339,通行宝,观望,软硬一体/垂直信息化,78.04,35.311,2.773,4.1018,5.34,1.0355,53.452894,4.14
688691,灿芯半导体股份,剔除,芯片/半导体设计,77.22,-69.999,6.567,3.7843,34.29,-0.6106,15.683206,-2.8
300440,运达科技,剔除,嵌入式/电力·轨交·军工硬件,75.7,85.65,4.54,1.7468,-39.49,-0.0916,36.736108,-4.24
688699,明微电子,剔除,芯片/半导体设计,75.56,-156.023,5.891,4.8376,69.26,0.8498,32.967976,8.12
300348,长亮科技,核心,金融IT,75.06,363.78,3.557,8.3675,25.92,-0.4465,26.957811,-4.99
688479,用友汽车信息科技,核心,垂直行业软件,74.93,124.067,4.056,2.0333,-6.52,0.1166,31.625351,-1.56
603123,翠微股份,剔除,传媒/广告/电商/零售,74.84,-14.641,4.714,9.6638,-13.68,-0.7204,24.003585,3.04
300872,天阳科技,核心,金融IT,73.95,-52.241,2.068,9.6388,-3.29,0.6002,24.674814,-0.26
300098,高新兴,剔除,嵌入式/电力·轨交·军工硬件,73.68,-212.0,2.77,9.6623,7.76,0.3283,34.54085,-2.71
300959,线上线下,剔除,传媒/广告/电商/零售,73.17,-650.286,6.633,1.922,-42.4,-0.0419,8.695834,-5.42
301085,亚康股份,剔除,IDC/算力租赁/机房,72.88,-50.903,7.477,8.253,36.92,0.4962,16.937205,-0.63
688191,智洋创新科技,观望,软硬一体/垂直信息化,72.32,81.667,8.643,4.0906,-11.57,-0.4592,22.635202,-9.45
300300,海峡创新,观望,软硬一体/垂直信息化,72.09,51.476,29.02,0.7825,7.6,-0.3136,-0.658717,-1.31
300369,绿盟科技,核心,网络安全,71.74,-156.915,2.823,8.1258,1.51,-1.2902,54.761003,-4.57
300520,科大国创,核心,工业/研发设计软件,69.71,-37.889,4.241,4.1925,-15.81,-1.0762,22.122585,-15.21
300785,值得买,剔除,传媒/广告/电商/零售,69.16,79.045,3.576,6.1938,6.43,0.0902,43.621495,-5.58
002605,姚记科技,剔除,游戏,68.64,14.643,1.825,13.2217,-8.07,2.1613,40.90471,-3.75
301162,国能日新,核心,垂直行业软件,68.58,35.317,4.234,3.5167,9.66,0.7012,63.699291,2.33
688365,光云科技,核心,基础软件/数据库/云,68.5,-267.833,7.106,3.0213,15.13,0.1164,73.069012,3.05
300168,万达信息,观望,数据/云/算力服务,67.57,-11.725,7.361,10.2576,9.94,-1.4997,21.252997,5.66
300493,润欣科技,剔除,芯片/半导体设计,67.35,119.455,5.638,13.8251,1.79,0.4623,9.584197,-0.33
920493,并行科技,观望,数据/云/算力服务,67.05,527.048,12.243,9.4627,106.76,0.4193,19.161123,-4.1
600797,浙大网新,观望,IT服务/系统集成,66.89,-130.2,2.074,14.7215,-5.91,-0.5948,18.084085,0.48
300598,诚迈科技,观望,IT服务/系统集成,66.77,-64.426,4.654,10.7774,5.8,-0.2193,12.383017,-0.34
300467,迅游科技,剔除,游戏,66.41,251.385,10.187,1.4621,1.91,0.0988,61.230243,3.44
300324,旋极信息,观望,IT服务/系统集成,66.34,-14.076,2.806,6.1032,-41.93,-1.4082,21.836085,8.79
002467,二六三,剔除,传媒/广告/电商/零售,66.29,-22.952,4.287,4.4223,14.97,-0.1925,35.215284,-9.11
300226,上海钢联,剔除,传媒/广告/电商/零售,66.28,25.866,2.885,385.2076,19.87,1.2465,1.377918,-0.05
000503,国新健康,观望,数据/云/算力服务,66.2,-16.384,5.923,1.0154,6.29,-1.0227,-14.570032,0.63
002421,达实智能,观望,软硬一体/垂直信息化,65.95,-10.097,2.43,10.9166,10.24,-0.182,25.615183,0.84
920799,艾融软件,核心,基础软件/数据库/云,65.67,101.29,16.791,2.4521,21.67,0.0749,27.658101,-4.65
002380,科远智慧,观望,软硬一体/垂直信息化,64.85,46.586,2.624,10.83,10.46,1.6207,41.129351,1.98
002298,中电鑫龙,剔除,嵌入式/电力·轨交·军工硬件,63.35,-15.018,3.391,8.082,-15.9,0.4366,26.764953,3.24
300075,数字政通,核心,垂直行业软件,62.98,-16.623,1.992,3.25,1.12,-0.0573,38.298421,3.93
300579,数字认证,观望,数据/云/算力服务,62.72,-66.504,8.326,3.4011,4.52,-0.4867,50.377959,9.07
300678,中科信息,观望,数据/云/算力服务,62.66,437.681,7.425,2.3371,65.11,0.0562,16.189006,-13.27
002123,梦网科技,剔除,传媒/广告/电商/零售,62.34,-28.667,4.246,11.2278,-27.04,-0.9741,11.241108,-1.33
688631,莱斯信息,剔除,嵌入式/电力·轨交·军工硬件,61.33,110.353,3.314,3.3081,-27.56,-0.3813,40.066416,13.42
300249,依米康,剔除,IDC/算力租赁/机房,61.02,190.961,9.402,9.1885,24.71,0.2099,16.087146,-0.38
301153,中科江南,核心,垂直行业软件,60.61,58.759,3.345,2.6731,11.26,-0.1497,50.158896,-3.53
002232,启明信息,观望,软硬一体/垂直信息化,60.47,185.696,4.26,3.5553,7.76,0.1541,24.630737,-2.34
300292,吴通控股,剔除,传媒/广告/电商/零售,60.38,50.0,4.017,21.0183,-6.61,0.7531,11.853317,1.81
000409,云鼎科技,观望,软硬一体/垂直信息化,59.91,71.233,3.6,5.3146,-16.89,0.3714,30.348373,-0.48
300925,法本信息,观望,IT服务/系统集成,59.33,55.36,2.638,28.8358,24.58,0.4082,16.602934,-1.16
688225,亚信安全,核心,网络安全,58.92,-12.772,4.042,27.3664,-12.4,-2.5532,30.190691,-5.84
002264,新华都,剔除,传媒/广告/电商/零售,58.52,33.875,2.79,21.6183,16.32,1.4166,19.427056,-3.09
603990,麦迪科技,核心,垂直行业软件,58.36,147.077,6.935,1.2316,-8.91,0.0663,60.13845,-3.55
300525,博思软件,核心,垂直行业软件,58.1,33.741,2.395,6.5126,-7.76,-0.4792,65.335983,-0.22
300047,天源迪科,观望,IT服务/系统集成,57.91,188.773,1.748,46.7474,12.71,0.329,7.032118,-1.54
300792,壹网壹创,剔除,传媒/广告/电商/零售,57.82,54.067,1.945,4.304,-19.24,0.6629,33.445841,3.65
688562,航天软件股份,核心,基础软件/数据库/云,57.72,-481.0,3.549,2.7314,-15.47,-0.9951,21.745178,-1.33
301218,华是科技,观望,软硬一体/垂直信息化,57.29,-215.808,6.317,2.1069,8.83,-0.146,16.076913,1.88
688228,开普云信息科技,观望,软硬一体/垂直信息化,57.04,-496.706,4.706,1.1707,-26.73,-0.1895,35.506947,-5.44
688109,品茗科技,核心,垂直行业软件,57.0,122.525,7.389,1.5865,-15.38,0.0182,71.310264,-4.18
002279,久其软件,核心,垂直行业软件,56.65,125.143,3.85,6.0918,-28.81,-0.2491,57.576827,18.14
688232,国泰新点软件,核心,垂直行业软件,56.19,158.636,1.073,5.7224,-14.58,-0.6316,58.946781,-0.82
688173,希荻微电子,剔除,芯片/半导体设计,55.9,-48.071,3.728,5.2874,13.35,-0.3038,28.768438,-0.63
603383,顶点软件,核心,金融IT,55.1,30.839,3.799,2.4791,0.97,0.7207,71.011058,0.98
002530,金财互联,核心,金融IT,54.78,87.875,4.042,6.0759,29.94,0.4347,31.993808,-1.08
688787,海天瑞声,核心,AI 原生/智能应用,54.23,374.583,7.421,1.9188,22.45,0.0977,49.098403,-1.07
300043,星辉娱乐,剔除,游戏,54.12,18.125,3.131,5.1719,-54.43,0.9247,61.089344,1.87
002649,博彦科技,观望,IT服务/系统集成,54.06,50.778,1.309,31.0783,-7.13,0.7035,22.474841,0.55
300451,创业慧康,核心,垂直行业软件,53.44,-13.269,1.4,4.5469,-21.15,-1.9715,34.701699,-16.75
688095,福昕软件开发,核心,办公与工具软件,52.48,171.054,2.011,4.7097,11.44,0.1396,91.584005,-0.41
603887,城地香江,剔除,IDC/算力租赁/机房,52.08,-77.648,1.48,14.7312,14.59,-0.0645,16.582,-0.62
301556,托普云农,核心,垂直行业软件,51.94,48.72,5.154,2.3628,-5.41,0.4334,48.999831,1.24
300183,东软载波,剔除,芯片/半导体设计,51.44,492.035,1.668,4.1484,-17.72,-0.2901,27.194966,-2.52
300523,辰安科技,观望,软硬一体/垂直信息化,51.2,-23.168,5.507,5.7696,3.45,-0.5894,33.028362,-5.87
000948,南天信息,剔除,嵌入式/电力·轨交·军工硬件,51.11,140.364,1.869,42.0579,-8.17,0.1312,9.768852,0.33
002777,久远银海,核心,垂直行业软件,51.11,65.895,3.053,4.3692,-0.55,0.2682,42.301646,-1.68
300287,飞利信,观望,IT服务/系统集成,51.1,-32.364,5.321,1.2715,-39.57,-0.5881,15.960311,2.42
688207,格灵深瞳,核心,AI 原生/智能应用,51.07,-27.014,2.069,0.5042,18.72,-0.9501,32.674292,-23.77
300518,新迅达,剔除,工程/运维/非软商业模式,50.99,-48.245,8.247,0.8025,-7.39,-0.5697,26.27526,9.69
300559,佳发教育,观望,软硬一体/垂直信息化,50.82,159.0,4.331,1.4937,-45.37,0.2289,49.509804,1.45
002657,中科金财,观望,IT服务/系统集成,50.52,-46.228,3.167,3.0923,15.73,-1.4323,14.911871,-6.32
002609,捷顺科技,剔除,嵌入式/电力·轨交·军工硬件,50.25,78.492,2.108,8.1735,9.91,0.4283,37.938557,-1.16
