code,name,industry,price,pe,pb,mktcap_yi,nmc_yi,rev_26h1,rev_25h1,rev_yoy_calc,np_26h1,np_25h1,np_yoy_calc,gm_26h1,gm_25h1,gm_chg_pp,roe_26h1,fin_err
301382,蜂助手,互联网和相关服务,38.95,71.337,5.7,111.14,92.06,13.3868,9.8332,36.14,0.7753,0.7611,1.87,17.410423,17.725512,-0.32,4.05,
300113,顺网科技,互联网和相关服务,16.32,26.323,4.198,110.02,83.07,5.6559,10.1025,-44.01,1.5827,1.6152,-2.01,66.788958,38.806983,27.98,6.02,
603039,泛微网络,软件和信息技术服务业,35.68,31.298,4.095,109.77,109.77,8.4862,8.0787,5.04,1.1475,0.6569,74.68,94.240255,93.928186,0.31,4.39,
002987,京北方,软件和信息技术服务业,10.55,27.763,3.79,109.77,106.97,23.3629,23.6097,-1.05,0.9882,1.1884,-16.85,21.089767,21.425808,-0.34,3.3,
300315,掌趣科技,互联网和相关服务,3.96,-66.0,2.333,107.22,107.22,3.3383,3.5801,-6.75,0.3626,0.4779,-24.13,76.93061,73.740743,3.19,0.78,
603859,能科科技,软件和信息技术服务业,40.13,43.151,2.555,106.91,98.2,7.4015,7.38,0.29,0.9469,1.106,-14.39,53.219707,52.403909,0.82,2.58,
002544,普天科技,软件和信息技术服务业,15.69,425.203,2.875,106.78,106.77,17.6517,20.2388,-12.78,-0.2492,-0.208,-19.81,11.937929,14.138716,-2.2,-0.67,
688258,江苏卓易信息科技,软件和信息技术服务业,88.14,133.545,10.759,106.77,106.77,1.7759,1.741,2.0,1.0624,0.2713,291.6,58.330881,54.949126,3.38,11.19,
300377,赢时胜,软件和信息技术服务业,13.78,-1968.571,4.285,103.49,96.6,6.2954,5.7807,8.9,-0.7838,-0.8055,2.69,32.353841,34.565632,-2.21,-3.19,
688327,云从科技,软件和信息技术服务业,9.89,-18.315,14.228,102.85,82.57,1.0026,1.6899,-40.67,-0.7877,-2.2982,65.73,42.815024,37.73086,5.08,-10.85,
600986,浙文互联,互联网和相关服务,6.88,114.667,2.027,102.33,102.33,43.0851,37.1261,16.05,-1.3334,1.1177,-219.3,8.521438,8.254682,0.27,-2.61,
002315,焦点科技,互联网和相关服务,24.76,15.598,3.699,102.3,65.38,10.5886,9.1935,15.17,2.6024,2.9476,-11.71,79.101668,80.054851,-0.95,9.56,
300378,鼎捷数智,软件和信息技术服务业,37.66,61.738,4.129,102.27,101.5,11.0105,10.4493,5.37,1.8843,0.4503,318.45,55.479476,58.318539,-2.84,7.68,
300846,首都在线,软件和信息技术服务业,19.79,-58.395,13.074,100.06,82.49,6.6517,6.2906,5.74,-0.3219,-0.7096,54.64,17.623507,13.144322,4.48,-4.17,
002063,远光软件,软件和信息技术服务业,5.22,33.164,2.503,99.99,92.35,10.6057,10.5489,0.54,0.7566,0.7543,0.3,49.020358,52.524598,-3.5,1.89,
920116,星图测控,软件和信息技术服务业,44.08,69.968,16.571,98.6,98.6,0.9076,0.9918,-8.49,0.2754,0.3226,-14.63,52.739095,54.571684,-1.83,4.61,
688262,苏州国芯科技,软件和信息技术服务业,29.24,-37.974,5.121,98.25,98.25,3.1328,1.7058,83.66,-0.8186,-0.8641,5.27,29.192611,36.821781,-7.63,-4.24,
603533,掌阅科技,互联网和相关服务,22.37,-55.925,4.313,98.18,98.18,17.8379,15.2607,16.89,-0.5014,-1.6014,68.69,65.634923,70.905025,-5.27,-2.18,
600446,金证股份,软件和信息技术服务业,10.37,-58.193,2.721,97.61,97.61,11.3011,12.0776,-6.43,0.126,-0.3883,132.45,41.740091,37.458807,4.28,0.35,
603220,中贝通信,软件和信息技术服务业,18.18,97.012,2.562,97.51,97.51,13.5757,15.844,-14.32,0.1065,0.5064,-78.97,16.677746,18.045146,-1.37,0.36,
000555,神州信息,软件和信息技术服务业,9.99,170.187,1.781,97.48,97.39,41.255,44.232,-6.73,-2.8292,-0.9638,-193.55,13.965836,13.225997,0.74,-5.06,
300768,迪普科技,软件和信息技术服务业,15.06,51.931,2.744,96.96,63.35,5.3678,5.5064,-2.52,0.7241,0.5215,38.85,62.335187,62.364813,-0.03,2.06,
600640,国脉文化,互联网和相关服务,12.16,450.37,2.449,96.25,96.25,8.7765,8.7551,0.24,0.1577,0.1392,13.29,18.198493,16.268066,1.93,0.3957,
300634,彩讯股份,软件和信息技术服务业,21.2,32.615,3.154,95.66,92.07,6.9575,9.195,-24.33,0.6873,1.3538,-49.23,38.475648,33.571838,4.9,2.25,
600718,东软集团,软件和信息技术服务业,7.9,-25.484,1.086,94.52,94.52,43.9566,46.8937,-6.26,-2.8886,0.565,-611.26,25.324234,26.529243,-1.21,-3.27,
300682,朗新科技,软件和信息技术服务业,8.74,87.4,1.479,94.24,90.37,14.824,15.4245,-3.89,-1.8049,0.2864,-730.2,43.833823,46.054295,-2.22,-2.7,
300624,万兴科技,软件和信息技术服务业,48.74,-103.702,9.796,94.23,83.46,7.0609,7.6,-7.09,-0.6898,-0.5281,-30.62,86.62505,92.417568,-5.79,-6.95,
688325,赛微微电子,软件和信息技术服务业,108.83,93.312,5.572,94.1,89.44,2.4457,2.184,11.98,0.3117,0.3934,-20.77,52.347219,53.611197,-1.26,1.79,
600728,佳都科技,软件和信息技术服务业,4.39,53.471,1.185,93.62,93.62,53.5358,49.1941,8.83,0.3075,1.3529,-77.27,6.96203,8.24949,-1.29,0.39,
301248,杰创智能,软件和信息技术服务业,58.91,654.556,5.946,90.55,66.17,3.4324,3.157,8.72,-0.0326,0.1873,-117.41,39.260431,33.974825,5.29,-0.21,
300188,国投智能,软件和信息技术服务业,10.51,-11.549,3.803,90.33,89.91,4.8573,5.5759,-12.89,-2.5483,-2.0817,-22.41,35.330926,36.288608,-0.96,-10.18,
