市场,代码,名称,东财一级行业,东财细分行业,证监会行业,注册/登记地址,办公地址,区/园区,港股通,口径
港股(剔除),00909,明源云,软件服务,软件服务,软件服务,"Cricket Square, Hutchins Drive, P.O. Box 2681, Grand Cayman, Cayman Islands","中国深圳市南山区粤海街道高新区社区高新南十道16号金地威新中心A座801,香港九龙海港城九仓电讯中心7楼701室",南山区,N,非港股通
港股(剔除),00947,摩比发展,资讯科技器材,资讯科技器材,资讯科技器材,"P.O. Box 309, Ugland House, Grand Cayman, Cayman Islands",香港黄竹坑香叶道2号One Island South 25楼A室;中国广东省深圳市南山区科技园朗山一路7号,南山区,N,非港股通
港股(剔除),01020,中细软科技,软件服务,软件服务,软件服务,"Cricket Square, Hutchins Drive, P.O. Box 2681, Grand Cayman, Cayman Islands","香港九龙科学馆道1号康宏广场航天科技大厦16楼15室,中国深圳市龙华区民治街道新龙大厦10楼08室",龙华区,N,非港股通
港股(剔除),01110,金活医药,药品及生物科技,药品及生物科技,药品及生物科技,"Windward 3, Regatta Office Park, PO Box 1350, Grand Cayman, Cayman Islands","香港九龙荔枝角道808号好运工业中心6楼613室,中国广东省深圳市南山区大新路198号马家龙创新大厦A座8-9楼",南山区,N,非港股通
港股(剔除),01119,创梦天地科技,软件服务,软件服务,软件服务,"PO Box 309, Ugland House, Grand Cayman, Cayman Islands","香港铜锣湾勿地臣街1号时代广场2座31楼,中国深圳南山区科兴科学园A3–16",南山区,N,非港股通
港股(剔除),01129,中国水业,公用事业,公用事业,公用事业,"Cricket Square, Hutchins Drive, P.O. Box 2681, Grand Cayman, Cayman Islands","香港九龙湾宏照道19号金利丰国际中心8楼H室,中国深圳市南山区西丽街道西丽社区打石一路深圳国际创新谷6栋A座22楼2204室",南山区,N,非港股通
港股(剔除),01147,伊登软件,软件服务,软件服务,软件服务,"71 Fort Street, P.O. Box 500, George Town, Grand Cayman, Cayman Islands","香港铜锣湾希慎道33号利园一期19楼1918室,中国深圳市福田区华富街道深南大道1006号福田科技广场深圳国际创新中心A座西翼2楼",福田区,N,非港股通
港股(剔除),01152,正乾金融,食物饮品,食物饮品,食物饮品,"Richmond House, 12 Par-la-Ville Road, Hamilton, Bermuda","香港上环干诺道西28号威胜商业大厦5楼510室,深圳市福田区莲花街道福中社区金田路4028号荣超经贸中心2408",福田区,N,非港股通
港股(剔除),01257,中国光大绿色环保,公用事业,公用事业,公用事业,"Cricket Square, Hutchins Drive, PO Box 2681, Grand Cayman, Cayman Islands","香港夏悫道16号远东金融中心36楼3602室,中国广东省深圳市福田区益田路6009号新世界中心50-52层",福田区,N,非港股通
港股(剔除),01317,中国枫叶教育,支援服务,支援服务,支援服务,"P.O. Box 309, Ugland House, Grand Cayman, Cayman Islands","香港金钟夏悫道18号海富中心二期24楼2402室,中国广东省深圳市龙岗区宝龙街道宝龙一路13号",龙岗区,N,非港股通
港股(剔除),01346,利华,纺织及服饰,纺织及服饰,纺织及服饰,"Cricket Square, Hutchins Drive, P.O. Box 2681, Grand Cayman, Cayman Islands","香港观塘兴业街12号永泰中心1楼B16室,中国深圳市宝安区留芳路6号庭威大厦一楼",宝安区,N,非港股通
港股(剔除),01351,辉煌明天科技,媒体及娱乐,媒体及娱乐,媒体及娱乐,"190 Elgin Avenue, George Town, Grand Cayman, Cayman Islands","香港中环租庇利街1号喜讯大厦9楼906室,中国深圳市南山区南头街道星海名城社区7期201-02及201-03室",南山区,N,非港股通
港股(剔除),01396,粤港湾智算科技,软件服务,软件服务,软件服务,"PO Box 309, Ugland House, Grand Cayman, Cayman Islands","香港干诺道中168-200号信德中心招商局大厦916室,深圳市福田区河套科创中心A座17楼",福田区,N,非港股通
港股(剔除),01397,碧瑶绿色,支援服务,支援服务,支援服务,"Cricket Square, Hutchins Drive, P.O. Box 2681, Grand Cayman, Cayman Islands","香港九龙荔枝角琼林街93号龙翔工业大厦4楼A室,广东省深圳市福田区南园路68号上步大厦6J",福田区,N,非港股通
港股(剔除),01401,未来机器,资讯科技器材,资讯科技器材,资讯科技器材,"P.O. Box 31119, Grand Pavilion, Hibiscus Way, 802 West Bay Road, Grand Cayman, Cayman Islands","香港九龙尖沙咀东科学馆道1号康宏广场南座7楼702室,中国深圳福田区北环大道6018号梅林街道华强科创广场1栋33楼",福田区,N,非港股通
港股(剔除),01455,科利实业,家庭电器及用品,家庭电器及用品,家庭电器及用品,"Cricket Square, Hutchins Drive, P.O. Box 2681, Grand Cayman, Cayman Islands","香港新界葵涌大连排道21-33号宏达工业中心1307室,深圳市光明区马田街道石围社区将石路181号A栋101,201、B栋、G栋",光明区,N,非港股通
港股(剔除),01480,恩达,工业工程,工业工程,工业工程,"Windward 3, Regatta Office Park, PO Box 1350, Grand Cayman, Cayman Islands","香港九龙观塘海滨道151–153号广生行中心809–810室,中国深圳坪山新区恩达路8号(西门)荔景南路81号(东正门)",—,N,非港股通
